state,age,i_urban,i_drive_to_work,i_physical_disability,socioeconomic_index,poverty_pct,i_female,i_male,i_grad_college,i_grad_highschool,i_married,i_married_mult,personal_income,personal_nonwage_income,i_health_insurance,i_moved_in_last_year,i_moved_out_of_state_in_last_year,lived_abroad_in_last_year,time_depart,time_arrive,time_commuting,education,ability,weights
NA,63,1,1,FALSE,24.87,475,0,1,0,1,1,0,8,0,1,0,0,0,482,499,17,7,-971.0760763262733,3.05898610379292e-7
NA,60,1,1,FALSE,30.61,501,0,1,0,1,0,0,7.36,0,0,0,0,0,452,469,17,6,-1790.6555196147456,3.4555598730338717e-7
NA,58,0,1,FALSE,38.51,501,1,0,0,1,1,0,4.5,0,1,0,0,0,352,359,7,6,-4106.908957515785,3.2878037331701673e-7
NA,26,0,1,FALSE,26.82,394,0,1,0,1,0,0,5.16,0,1,0,0,0,245,249,4,7,4772.075339187075,2.996234064690018e-7
NA,38,0,1,TRUE,48.34,501,1,0,0,1,0,0,6.25,0,1,0,0,0,477,479,2,6,-9814.763421667882,2.972726594913505e-7
NA,49,1,1,FALSE,47.88,501,1,0,1,1,1,0,6.2,0,1,0,0,0,467,484,17,10,4208.34138749904,3.028507642478851e-7
NA,58,0,0,FALSE,47.88,495,1,0,1,1,1,1,5.3,0,1,1,1,0,362,364,2,11,6928.221964081044,2.9297143530519256e-7
AZ,36,1,1,FALSE,34.6,317,1,0,1,1,1,1,0.12,0,1,0,0,0,542,554,12,11,7429.9034907830865,2.9553656128341037e-7
AZ,45,1,1,FALSE,34.57,211,0,1,0,1,0,0,2.8,0,1,0,0,0,675,704,29,6,-6074.700428800603,3.0067449513142934e-7
AZ,26,1,1,FALSE,26.16,349,0,1,0,1,0,0,3.1,0,1,0,0,0,452,484,32,6,1846.7718627439535,3.54346953086958e-7
AZ,56,1,1,FALSE,47.88,501,0,1,1,1,1,0,39,0,1,1,0,0,302,319,17,10,4208.341387499007,2.922365836131032e-7
AZ,50,1,1,FALSE,38.51,501,1,0,0,1,1,1,10,0,1,1,0,0,452,464,12,6,-4106.908957515792,3.0248699956036145e-7
AZ,34,1,1,FALSE,63.81,501,0,1,1,1,1,0,9.4,0,1,0,0,0,437,469,32,10,3176.1126677280645,2.9130027955387477e-7
AZ,65,1,1,TRUE,33.82,501,0,1,0,1,0,0,6.47,0,1,0,0,0,542,564,22,6,-3095.148641784872,2.92002235873328e-7
AZ,57,1,1,FALSE,27.07,501,0,1,0,1,1,1,8,0,1,0,0,0,285,304,19,7,1084.6071945418953,2.9911214294458814e-7
AZ,26,1,1,FALSE,42.69,251,1,0,0,1,1,0,2,0,1,1,0,0,522,524,2,6,-6532.208832345787,2.949446549550974e-7
AZ,61,1,1,FALSE,27.84,431,1,0,1,1,1,1,3.74,0,1,0,0,0,845,859,14,11,9151.63397289961,2.9247111273656893e-7
AZ,48,1,1,FALSE,64.27,291,0,1,1,1,1,0,7.5,0,1,0,0,0,302,334,32,10,-1109.1302555247494,3.213308810473238e-7
AZ,67,1,1,FALSE,66.22,501,1,0,1,1,1,0,10.5,0,1,0,0,0,362,409,47,11,784.9154360282264,3.233928438041484e-7
AZ,54,1,0,FALSE,58.25,501,1,0,0,1,1,0,3.6,0,1,1,0,0,215,244,29,7,-8344.406619603473,3.292610087027829e-7
AZ,38,1,1,FALSE,28.12,348,1,0,0,1,0,0,3.04,0,1,0,0,0,402,429,27,6,-2437.0493970320167,3.0139823505591147e-7
AZ,31,1,1,FALSE,61.07,422,1,0,0,1,1,0,2,0,1,0,0,0,1095,1114,19,8,-4130.471308657114,2.944719535201899e-7
AZ,68,1,1,FALSE,42.5,501,0,1,0,1,1,0,8.33,0,1,0,0,0,392,434,42,7,-3408.0166924560726,2.874685087855179e-7
AZ,51,1,1,FALSE,40.61,350,0,1,0,1,1,1,6.2,0,1,0,0,0,417,429,12,8,3314.9028033912946,3.2755525543735217e-7
AZ,62,1,1,FALSE,64.56,427,0,1,1,1,0,0,5.6,0,1,0,0,0,437,474,37,10,261.69729442501557,2.9013396695699286e-7
AZ,37,0,1,TRUE,31.27,80,0,1,0,1,0,0,2.1,0,1,0,0,0,1245,1254,9,7,78.68535036562571,3.0068719086972406e-7
AZ,50,1,1,FALSE,53.79,501,0,1,1,1,1,0,7.22,0,1,0,0,0,317,499,182,11,3103.541123642348,2.960109113556398e-7
AZ,58,1,1,FALSE,71.48,501,0,1,1,1,1,1,15.11,0,1,1,0,0,377,424,47,10,-15.294951677922654,2.9624836178526196e-7
AZ,48,1,1,FALSE,21.76,122,0,1,1,1,0,0,2.5,0,1,0,0,0,392,414,22,10,10475.703297799333,2.9258844536105327e-7
AZ,52,0,1,FALSE,31.23,501,1,0,0,1,1,0,8.8,0,0,0,0,0,317,329,12,6,-7255.2293450513025,2.9738976538619635e-7
AZ,25,1,1,FALSE,58.26,431,1,0,1,1,0,0,5.7,0,0,0,0,0,332,394,62,10,934.8403591561837,3.04188185778848e-7
AZ,45,1,1,FALSE,40.29,501,1,0,1,1,1,0,9,0,1,0,0,0,482,544,62,11,8719.7023077770209,2.929407156962398e-7
AZ,54,1,1,FALSE,33.82,501,1,0,0,1,1,0,9.6,0,1,0,0,0,605,624,19,6,-3095.148641784872,3.137111976376195e-7
AZ,30,1,1,FALSE,47.88,191,0,1,0,1,1,0,3.8,0,1,0,0,0,472,499,27,7,-4551.016854195892,2.9459006031405276e-7
AZ,27,0,0,FALSE,21.76,220,0,1,0,1,0,0,1.97,0,1,0,0,0,905,934,29,6,-990.947582909333,3.042600071933281e-7
AZ,44,1,1,FALSE,44.13,305,0,1,0,1,0,0,4,0,0,0,0,0,422,434,12,6,-3702.536925239543,3.070030708096963e-7
AZ,69,1,1,FALSE,34.6,46,1,0,0,1,0,0,0.92,0,1,0,0,0,512,544,32,7,-3449.618815544969,2.921193870790244e-7
AZ,56,1,1,FALSE,61.07,501,1,0,1,1,0,0,8,0,1,0,0,0,392,409,17,11,4029.170421088933,2.917680693769619e-7
AZ,53,1,1,FALSE,46.45,388,0,1,1,1,1,0,9.6,0,0,0,0,0,552,574,22,11,4435.123625579392,2.9388210440430523e-7
AZ,36,1,1,FALSE,21.76,332,0,1,0,1,1,0,4,0,1,0,0,0,392,409,17,6,-403.81900852871877,2.916510540512491e-7
AZ,31,1,1,FALSE,28.3,487,0,1,0,1,0,0,6,0,1,0,0,0,275,304,29,7,3159.9541624232224,2.957736445690321e-7
AZ,25,1,1,FALSE,33.82,501,0,1,0,1,0,0,2.3,0,1,0,0,0,635,644,9,6,-3095.148641784872,3.172450466738656e-7
AZ,28,1,1,FALSE,47.23,388,1,0,1,1,0,0,5.1,0,1,1,0,0,452,489,37,10,4193.373848699068,2.958922550158385e-7
AZ,51,0,1,FALSE,25.45,356,1,0,0,1,0,0,6,0,1,0,0,0,362,424,62,7,19.53347044108523,3.179709521494823e-7
AZ,36,1,1,FALSE,47.88,398,0,1,0,1,1,0,12.1,0,1,0,0,0,482,499,17,6,-6671.1809188290135,2.932933950931204e-7
AZ,40,1,1,FALSE,21.3,259,0,1,0,1,1,0,2.53,0,1,0,0,0,467,484,17,6,351.6056508421889,3.04188185778848e-7
AZ,62,1,1,FALSE,46.67,501,1,0,0,1,1,1,3.69,0,1,0,0,0,392,394,2,7,-4370.932668179645,2.9684279223056096e-7
AZ,46,1,1,FALSE,77.08,501,0,1,1,1,1,0,39,0,1,0,0,0,462,484,22,11,40.58207034910447,2.934110458767637e-7
AZ,32,1,1,FALSE,70.86,501,1,0,1,1,1,0,14,0,1,0,0,0,452,479,27,11,1102.9722302472073,3.007950018252859e-7
AZ,32,1,1,FALSE,63.81,501,1,0,1,1,1,0,6.1,0,1,1,0,0,755,774,19,11,5895.993244310077,3.0492009074376726e-7
